Timestamp,CPU_Usage (%),Memory_Usage (%),Disk_Usage (%)
2025-01-03 13:42:58,20.5,41.4,7.1
2025-01-03 13:42:58,18.6,41.4,7.1
2025-01-03 13:42:58,15.5,41.4,7.1
2025-01-03 13:42:59,14.9,41.4,7.1
2025-01-03 13:42:59,19.6,41.4,7.1
2025-01-03 13:42:59,18.2,41.4,7.1
2025-01-03 13:42:59,22.2,41.4,7.1
2025-01-03 13:42:59,19.7,41.4,7.1
2025-01-03 13:42:59,19.6,41.4,7.1
2025-01-03 13:42:59,20.9,41.4,7.1
2025-01-03 13:42:59,20.0,41.4,7.1
2025-01-03 13:42:59,17.1,41.4,7.1
2025-01-03 13:43:00,20.4,41.4,7.1
2025-01-03 13:43:00,16.7,41.4,7.1
2025-01-03 13:43:00,18.2,41.4,7.1
2025-01-03 13:43:00,17.0,41.4,7.1
2025-01-03 13:43:00,18.0,41.4,7.1
2025-01-03 13:43:00,19.5,41.4,7.1
2025-01-03 13:43:00,15.7,41.4,7.1
2025-01-03 13:43:00,20.7,41.4,7.1
2025-01-03 13:43:00,18.6,41.4,7.1
2025-01-03 13:43:01,13.6,41.4,7.1
2025-01-03 13:43:01,16.7,41.4,7.1
2025-01-03 13:43:01,19.1,41.4,7.1
2025-01-03 13:43:01,16.5,41.4,7.1
2025-01-03 13:43:01,15.7,41.4,7.1
2025-01-03 13:43:01,23.0,41.4,7.1
2025-01-03 13:43:01,17.4,41.4,7.1
2025-01-03 13:43:01,16.9,41.4,7.1
2025-01-03 13:43:01,14.8,41.4,7.1
2025-01-03 13:43:02,17.2,41.4,7.1
2025-01-03 13:43:02,16.7,41.4,7.1
2025-01-03 13:43:02,20.7,41.4,7.1
2025-01-03 13:43:02,17.2,41.4,7.1
2025-01-03 13:43:02,17.5,41.4,7.1
2025-01-03 13:43:02,17.4,41.4,7.1
2025-01-03 13:43:02,17.4,41.4,7.1
2025-01-03 13:43:02,19.1,41.4,7.1
2025-01-03 13:43:02,16.3,41.4,7.1
2025-01-03 13:43:03,15.2,41.4,7.1
2025-01-03 13:43:03,15.9,41.4,7.1
2025-01-03 13:43:03,23.3,41.4,7.1
2025-01-03 13:43:03,21.5,41.4,7.1
2025-01-03 13:43:03,16.9,41.3,7.1
2025-01-03 13:43:03,22.6,41.3,7.1
2025-01-03 13:43:03,20.9,41.3,7.1
2025-01-03 13:43:03,20.5,41.3,7.1
2025-01-03 13:43:03,17.4,41.3,7.1
2025-01-03 13:43:04,15.5,41.3,7.1
2025-01-03 13:43:04,20.7,41.3,7.1
2025-01-03 13:43:04,18.1,41.3,7.1
2025-01-03 13:43:04,23.9,41.3,7.1
2025-01-03 13:43:04,15.7,41.3,7.1
2025-01-03 13:43:04,17.6,41.3,7.1
2025-01-03 13:43:04,24.5,41.3,7.1
2025-01-03 13:43:04,15.0,41.3,7.1
2025-01-03 13:43:04,18.6,41.3,7.1
2025-01-03 13:43:05,17.4,41.3,7.1
2025-01-03 13:43:05,13.4,41.3,7.1
2025-01-03 13:43:05,13.6,41.3,7.1
